Brand,Model,Fuel_Type,Horsepower,CO2_g_km,MSRP_USD,Country,Month,Sales_Volume
Hyundai,Model B,Hybrid,485,205,81960,Germany,2020-03-31,1323
Honda,Model A,Diesel,423,177,25899,UK,2020-03-31,849
Hyundai,Model C,Electric,383,72,17718,Canada,2020-03-31,1468
Hyundai,Model C,Diesel,447,63,65346,Spain,2020-03-31,1171
Nissan,Model E,Diesel,310,177,108877,UK,2020-03-31,1471
Honda,Model E,Diesel,344,200,55408,UK,2020-03-31,313
Kia,Model C,Hybrid,395,60,39017,Canada,2020-03-31,1539
Mercedes,Model C,Petrol,144,168,38993,Brazil,2020-03-31,1943
Volkswagen,Model E,Electric,303,142,40396,UK,2020-03-31,911
Nissan,Model C,Petrol,290,108,68480,USA,2020-03-31,284
Kia,Model A,Petrol,344,221,66197,China,2020-03-31,1023
Ford,Model E,Hybrid,482,218,79181,Brazil,2020-03-31,1539
Ford,Model E,Petrol,142,84,69235,UK,2020-03-31,744
Volkswagen,Model C,Diesel,180,162,87443,USA,2020-03-31,1188
Kia,Model C,Diesel,132,82,104925,France,2020-03-31,697
Nissan,Model B,Petrol,483,57,18447,China,2020-03-31,948
Honda,Model B,Petrol,153,215,115673,Japan,2020-03-31,599
Ford,Model A,Electric,430,113,38336,USA,2020-03-31,1344
Kia,Model D,Petrol,312,86,92279,France,2020-03-31,1584
Honda,Model C,Petrol,449,136,62786,Spain,2020-03-31,1526
Kia,Model B,Electric,381,90,24973,Brazil,2020-03-31,539
Mercedes,Model D,Petrol,184,169,82076,Brazil,2020-03-31,1621
Audi,Model A,Hybrid,76,185,83020,China,2020-03-31,1213
Volkswagen,Model C,Electric,242,126,18292,Japan,2020-03-31,1593
BMW,Model E,Electric,197,170,93604,Japan,2020-03-31,1689
Ford,Model C,Hybrid,366,180,28909,Japan,2020-03-31,1337
Kia,Model E,Petrol,378,157,74432,Germany,2020-03-31,360
Nissan,Model B,Hybrid,345,248,79323,UK,2020-03-31,141
Kia,Model C,Petrol,497,93,59610,China,2020-03-31,1708
Nissan,Model E,Electric,422,70,74830,Italy,2020-03-31,1704
Toyota,Model D,Diesel,378,230,43127,UK,2020-03-31,1199
Mercedes,Model C,Electric,433,97,40845,Japan,2020-03-31,592
Hyundai,Model C,Petrol,410,185,51124,Japan,2020-03-31,1502
Kia,Model E,Electric,75,238,49030,Italy,2020-03-31,855
Honda,Model E,Petrol,488,102,38951,France,2020-03-31,816
BMW,Model D,Electric,162,69,91325,Italy,2020-03-31,1293
Hyundai,Model D,Hybrid,443,219,85702,Germany,2020-03-31,1126
Mercedes,Model E,Hybrid,383,170,68901,Italy,2020-03-31,1029
Toyota,Model A,Hybrid,295,102,46882,UK,2020-03-31,449
Honda,Model D,Petrol,290,63,92619,Brazil,2020-03-31,21
Mercedes,Model C,Hybrid,191,151,86377,France,2020-03-31,1286
Audi,Model D,Electric,181,144,20702,USA,2020-03-31,593
Toyota,Model D,Electric,100,244,59702,Brazil,2020-03-31,57
Ford,Model B,Diesel,204,174,64954,USA,2020-03-31,249
Audi,Model E,Electric,99,98,109316,China,2020-03-31,1129
Audi,Model B,Petrol,232,220,91510,Japan,2020-03-31,1784
Hyundai,Model C,Hybrid,256,62,117485,UK,2020-03-31,1478
Volkswagen,Model E,Diesel,430,113,94783,UK,2020-03-31,1812
Ford,Model E,Petrol,237,233,37027,Germany,2020-03-31,1607
Toyota,Model C,Electric,490,131,22651,USA,2020-03-31,1174
Hyundai,Model E,Diesel,71,92,102092,China,2020-03-31,281
Ford,Model A,Electric,301,163,33262,Germany,2020-03-31,348
Mercedes,Model E,Electric,104,151,75785,Italy,2020-03-31,67
BMW,Model C,Electric,442,154,70722,UK,2020-03-31,1978
Toyota,Model A,Diesel,375,197,84635,USA,2020-03-31,247
Hyundai,Model D,Hybrid,312,181,77448,USA,2020-03-31,864
BMW,Model E,Petrol,482,153,93732,China,2020-03-31,1072
Toyota,Model B,Petrol,275,70,81331,Canada,2020-03-31,1948
Audi,Model C,Petrol,74,97,32778,Italy,2020-03-31,847
BMW,Model C,Electric,84,62,116420,Germany,2020-03-31,896
BMW,Model E,Diesel,103,131,102534,Japan,2020-03-31,48
Honda,Model A,Diesel,375,229,110338,USA,2020-03-31,1028
Toyota,Model E,Petrol,273,157,80414,USA,2020-03-31,211
Ford,Model B,Electric,129,223,56548,Canada,2020-03-31,455
Volkswagen,Model E,Diesel,432,90,48264,France,2020-03-31,530
Mercedes,Model D,Hybrid,236,155,52672,USA,2020-03-31,1465
Nissan,Model B,Diesel,220,110,89566,Italy,2020-03-31,763
Hyundai,Model E,Diesel,392,65,95633,Spain,2020-03-31,1653
BMW,Model B,Petrol,277,97,113690,France,2020-03-31,1632
Kia,Model D,Electric,259,226,95737,China,2020-03-31,1933
BMW,Model B,Hybrid,196,163,102466,Brazil,2020-03-31,1118
Audi,Model E,Petrol,189,146,24248,Canada,2020-03-31,1455
Toyota,Model C,Electric,95,137,72472,France,2020-03-31,1517
Audi,Model B,Diesel,120,73,74687,France,2020-03-31,772
Volkswagen,Model A,Petrol,389,245,53780,USA,2020-03-31,109
Mercedes,Model C,Petrol,152,155,37753,China,2020-03-31,304
Honda,Model B,Diesel,128,176,21575,UK,2020-03-31,322
Toyota,Model C,Diesel,403,81,81282,Germany,2020-03-31,1193
Audi,Model D,Diesel,381,109,104840,Canada,2020-03-31,1169
Honda,Model C,Petrol,121,130,92668,UK,2020-03-31,1008
Nissan,Model A,Hybrid,370,173,17449,France,2020-03-31,26
Nissan,Model E,Electric,330,166,74387,Germany,2020-03-31,1561
Toyota,Model B,Diesel,410,107,83610,Canada,2020-03-31,1513
Mercedes,Model C,Diesel,451,52,66380,Italy,2020-03-31,1315
Kia,Model A,Electric,387,244,32689,Spain,2020-03-31,1184
BMW,Model B,Petrol,191,136,65664,Germany,2020-03-31,1876
Ford,Model B,Hybrid,471,109,101366,France,2020-03-31,1553
Mercedes,Model C,Petrol,294,228,38448,Brazil,2020-03-31,81
Mercedes,Model B,Hybrid,406,86,70107,Japan,2020-03-31,1220
Kia,Model D,Hybrid,355,100,45266,Italy,2020-03-31,856
Audi,Model E,Hybrid,382,197,25265,France,2020-03-31,519
Honda,Model B,Hybrid,223,184,60383,France,2020-03-31,1031
Toyota,Model D,Hybrid,261,119,104377,Brazil,2020-03-31,474
Ford,Model C,Diesel,121,90,24653,Brazil,2020-03-31,1315
Honda,Model C,Electric,377,106,64985,Brazil,2020-03-31,593
BMW,Model B,Petrol,187,50,94770,France,2020-03-31,1159
Ford,Model C,Electric,90,108,31027,Italy,2020-03-31,496
Nissan,Model D,Hybrid,343,122,95848,UK,2020-03-31,1771
Mercedes,Model D,Electric,264,176,104232,Canada,2020-03-31,1900
BMW,Model A,Diesel,310,81,68946,Spain,2020-03-31,1639
Volkswagen,Model D,Petrol,374,212,20816,Canada,2020-03-31,969
Nissan,Model C,Diesel,365,57,109258,Spain,2020-03-31,1888
BMW,Model A,Petrol,202,90,108980,China,2020-03-31,751
Audi,Model D,Hybrid,94,224,58048,France,2020-03-31,1566
Volkswagen,Model A,Petrol,421,222,73178,Brazil,2020-03-31,1941
Toyota,Model E,Hybrid,88,71,53145,USA,2020-03-31,1162
Honda,Model C,Electric,136,138,27654,USA,2020-03-31,1554
BMW,Model B,Electric,468,180,117980,China,2020-03-31,767
Nissan,Model E,Petrol,484,150,64475,China,2020-03-31,1660
Audi,Model B,Hybrid,488,77,58395,Japan,2020-03-31,338
Audi,Model D,Diesel,368,60,56493,Spain,2020-03-31,117
Nissan,Model D,Electric,422,55,25035,China,2020-03-31,570
BMW,Model C,Diesel,385,94,62171,Canada,2020-03-31,1427
Ford,Model E,Electric,379,146,88063,Canada,2020-03-31,1229
Hyundai,Model B,Petrol,255,84,113724,Germany,2020-03-31,1502
Hyundai,Model E,Hybrid,416,141,71528,Japan,2020-03-31,779
Nissan,Model E,Petrol,466,231,53849,China,2020-03-31,34
Audi,Model D,Electric,200,184,103280,Italy,2020-03-31,748
Honda,Model C,Hybrid,71,67,76826,Italy,2020-03-31,612
Audi,Model C,Petrol,276,97,83098,France,2020-03-31,1627
Kia,Model E,Electric,476,224,88320,Japan,2020-03-31,1019
Audi,Model C,Diesel,82,159,72511,Japan,2020-03-31,1205
Nissan,Model E,Hybrid,208,100,63483,China,2020-03-31,530
BMW,Model D,Petrol,251,52,83626,Japan,2020-03-31,1201
Ford,Model B,Electric,435,197,90505,Japan,2020-03-31,814
Mercedes,Model C,Petrol,122,101,98163,UK,2020-03-31,1615
Ford,Model B,Hybrid,458,68,104892,China,2020-03-31,1839
Honda,Model B,Electric,234,184,103004,USA,2020-03-31,799
Honda,Model D,Petrol,406,247,112602,Canada,2020-03-31,740
BMW,Model A,Petrol,83,225,43136,Canada,2020-03-31,1956
Ford,Model A,Electric,82,130,53243,Italy,2020-03-31,1129
Nissan,Model C,Hybrid,491,103,53076,Spain,2020-03-31,672
Hyundai,Model D,Petrol,162,245,44094,China,2020-03-31,951
Audi,Model E,Hybrid,493,61,90859,France,2020-03-31,1326
Volkswagen,Model D,Diesel,239,141,96475,China,2020-03-31,1697
Kia,Model A,Electric,348,72,119455,UK,2020-03-31,89
Nissan,Model E,Petrol,374,70,93171,USA,2020-03-31,1983
Ford,Model A,Diesel,152,212,26624,UK,2020-03-31,459
Volkswagen,Model D,Petrol,411,228,18863,Japan,2020-03-31,1479
Hyundai,Model E,Electric,296,184,85624,China,2020-03-31,444
Nissan,Model C,Petrol,293,227,58073,France,2020-03-31,1815
Toyota,Model D,Electric,421,131,80923,USA,2020-03-31,811
Volkswagen,Model D,Hybrid,476,62,116195,USA,2020-03-31,261
Nissan,Model A,Petrol,265,203,73334,Canada,2020-03-31,338
Hyundai,Model A,Electric,437,122,95691,UK,2020-03-31,944
Volkswagen,Model B,Hybrid,129,219,21389,USA,2020-03-31,1432
BMW,Model B,Petrol,460,163,78773,Germany,2020-03-31,270
Audi,Model D,Petrol,477,159,62507,France,2020-03-31,237
Audi,Model D,Electric,383,76,65794,USA,2020-03-31,641
Audi,Model B,Petrol,456,104,43875,Japan,2020-03-31,1251
Honda,Model E,Diesel,379,128,110192,USA,2020-03-31,1918
Mercedes,Model B,Hybrid,149,248,49902,France,2020-03-31,378
Hyundai,Model E,Petrol,418,148,47769,Canada,2020-03-31,1616
Audi,Model C,Electric,362,187,97975,Brazil,2020-03-31,1500
Ford,Model A,Petrol,321,133,71675,Brazil,2020-03-31,923
Mercedes,Model B,Electric,182,71,102374,Brazil,2020-03-31,1731
Kia,Model C,Diesel,421,63,107148,USA,2020-03-31,1941
Mercedes,Model A,Diesel,437,190,105812,USA,2020-03-31,1522
Volkswagen,Model E,Electric,421,248,87883,France,2020-03-31,1126
Ford,Model D,Petrol,461,72,89020,China,2020-03-31,152
Nissan,Model E,Hybrid,342,56,64459,Japan,2020-03-31,1651
Ford,Model D,Electric,389,240,83612,UK,2020-03-31,1901
Honda,Model B,Petrol,365,82,27156,Brazil,2020-03-31,479
Audi,Model B,Hybrid,399,95,43925,China,2020-03-31,1818
Kia,Model A,Petrol,110,126,104679,Spain,2020-03-31,1407
Audi,Model E,Petrol,241,112,93230,Germany,2020-03-31,220
Toyota,Model B,Electric,238,163,114649,Japan,2020-03-31,1835
Kia,Model A,Diesel,442,165,67379,China,2020-03-31,81
Toyota,Model E,Diesel,162,89,22440,Brazil,2020-03-31,1698
Nissan,Model D,Electric,107,222,102730,France,2020-03-31,490
Kia,Model A,Petrol,436,148,25901,Germany,2020-03-31,425
Audi,Model D,Diesel,363,207,30331,USA,2020-03-31,809
Honda,Model B,Electric,432,54,103071,France,2020-03-31,1488
Nissan,Model C,Diesel,448,237,108738,UK,2020-03-31,1881
Kia,Model C,Electric,356,211,117419,France,2020-03-31,1291
BMW,Model E,Diesel,118,106,33226,China,2020-03-31,1616
Honda,Model C,Hybrid,193,163,58854,Germany,2020-03-31,1577
Audi,Model D,Hybrid,145,78,38527,Germany,2020-03-31,133
Toyota,Model D,Electric,348,223,82595,Japan,2020-03-31,1747
Hyundai,Model E,Hybrid,415,204,58726,Germany,2020-03-31,1245
Toyota,Model E,Electric,326,237,119637,USA,2020-03-31,781
Audi,Model E,Diesel,314,101,63713,Spain,2020-03-31,661
Mercedes,Model B,Electric,405,199,89843,France,2020-03-31,1754
Volkswagen,Model D,Electric,395,74,99439,Canada,2020-03-31,1029
Ford,Model E,Electric,355,80,111608,Brazil,2020-03-31,851
Audi,Model E,Electric,210,193,37959,Germany,2020-03-31,422
BMW,Model B,Hybrid,278,71,102363,UK,2020-03-31,752
Audi,Model B,Hybrid,369,243,72782,Canada,2020-03-31,503
BMW,Model E,Diesel,484,176,61281,Spain,2020-03-31,1351
Toyota,Model B,Petrol,396,182,116770,UK,2020-03-31,991
Mercedes,Model E,Electric,400,238,28112,France,2020-03-31,1695
Kia,Model B,Petrol,486,108,84454,China,2020-03-31,13
Audi,Model E,Electric,152,240,38388,Brazil,2020-03-31,1699
Volkswagen,Model A,Petrol,183,90,76079,Brazil,2020-03-31,893
Nissan,Model B,Hybrid,206,197,35028,Germany,2020-03-31,1943
BMW,Model A,Hybrid,204,220,106069,China,2020-03-31,457
Volkswagen,Model D,Petrol,160,88,95572,USA,2020-03-31,251
Nissan,Model B,Hybrid,495,194,83728,Italy,2020-03-31,328
Kia,Model E,Diesel,410,85,97477,Spain,2020-03-31,1275
Ford,Model C,Electric,492,119,112718,UK,2020-03-31,1631
Audi,Model C,Petrol,420,120,73274,Germany,2020-03-31,1578
BMW,Model A,Hybrid,93,142,66640,Canada,2020-03-31,1002
Toyota,Model A,Hybrid,106,148,106904,China,2020-03-31,1993
Nissan,Model B,Electric,273,80,67021,USA,2020-03-31,455
BMW,Model D,Hybrid,437,52,30697,Spain,2020-03-31,25
Mercedes,Model E,Petrol,272,217,39902,Japan,2020-03-31,1300
Ford,Model D,Petrol,183,196,72990,China,2020-03-31,204
BMW,Model B,Electric,390,165,74042,Germany,2020-03-31,708
Nissan,Model A,Electric,220,196,118583,France,2020-03-31,409
Hyundai,Model E,Diesel,416,138,45086,Japan,2020-03-31,370
Kia,Model D,Diesel,116,59,99339,China,2020-03-31,1894
Ford,Model A,Petrol,124,141,84293,Japan,2020-03-31,794
Ford,Model A,Hybrid,263,192,101790,Japan,2020-03-31,2
Hyundai,Model E,Electric,397,234,82478,Canada,2020-03-31,1656
Kia,Model A,Petrol,339,238,76115,Spain,2020-03-31,1669
Mercedes,Model D,Petrol,465,84,37850,USA,2020-03-31,404
Toyota,Model C,Diesel,296,232,19700,Japan,2020-03-31,1334
Ford,Model C,Electric,405,158,16649,Spain,2020-03-31,1294
Mercedes,Model D,Electric,182,197,105330,Spain,2020-03-31,1303
Ford,Model A,Diesel,77,64,72838,France,2020-03-31,806
Toyota,Model B,Petrol,156,202,47425,France,2020-03-31,1563
Hyundai,Model A,Diesel,129,103,33394,Canada,2020-03-31,477
Toyota,Model A,Petrol,364,70,101492,Japan,2020-03-31,946
Volkswagen,Model E,Electric,199,132,96383,USA,2020-03-31,498
Audi,Model B,Electric,148,105,27292,Japan,2020-03-31,323
Audi,Model A,Hybrid,261,156,42968,Canada,2020-03-31,1946
Hyundai,Model B,Diesel,429,227,29441,Brazil,2020-03-31,1043
Toyota,Model B,Hybrid,80,243,80845,Canada,2020-03-31,1867
Ford,Model A,Diesel,267,206,62860,Canada,2020-03-31,1395
Nissan,Model E,Diesel,390,220,51680,Japan,2020-03-31,1327
Honda,Model A,Petrol,489,220,89422,USA,2020-03-31,533
Mercedes,Model C,Diesel,388,102,114653,Germany,2020-03-31,1205
Ford,Model B,Electric,286,176,47332,France,2020-03-31,723
Mercedes,Model E,Electric,132,172,73668,UK,2020-03-31,898
Hyundai,Model C,Hybrid,212,147,59017,France,2020-03-31,24
Toyota,Model C,Electric,131,213,94234,Italy,2020-03-31,680
Ford,Model B,Diesel,125,133,39934,Spain,2020-03-31,875
Audi,Model C,Diesel,92,157,119716,Spain,2020-03-31,986
Hyundai,Model E,Diesel,112,151,45526,UK,2020-03-31,118
Volkswagen,Model C,Hybrid,100,130,67308,USA,2020-03-31,965
Ford,Model D,Hybrid,200,200,88770,Spain,2020-03-31,470
BMW,Model A,Petrol,148,202,25876,China,2020-03-31,1668
Audi,Model A,Electric,489,97,91463,Canada,2020-03-31,1155
Mercedes,Model A,Electric,400,51,95339,France,2020-03-31,1889
Nissan,Model A,Hybrid,266,140,111785,China,2020-03-31,1339
Toyota,Model C,Hybrid,161,143,112843,Japan,2020-03-31,1434
Mercedes,Model A,Petrol,133,81,58198,France,2020-03-31,1368
Toyota,Model D,Hybrid,323,238,107880,Brazil,2020-03-31,19
Kia,Model C,Electric,136,240,80226,China,2020-03-31,868
Hyundai,Model C,Electric,373,138,59235,USA,2020-03-31,1820
Mercedes,Model C,Petrol,369,233,57210,UK,2020-03-31,190
Audi,Model E,Diesel,269,65,68497,UK,2020-03-31,1280
BMW,Model E,Petrol,133,175,26575,UK,2020-03-31,47
Nissan,Model B,Hybrid,195,200,83872,Canada,2020-03-31,918
Ford,Model C,Electric,153,84,73960,France,2020-03-31,681
Honda,Model A,Hybrid,143,182,112892,China,2020-03-31,1961
Hyundai,Model D,Hybrid,117,107,69498,Brazil,2020-03-31,657
Honda,Model D,Electric,296,71,113176,Japan,2020-03-31,436
Audi,Model C,Hybrid,250,131,90544,UK,2020-03-31,1316
Kia,Model E,Electric,451,112,93144,Brazil,2020-03-31,667
Ford,Model E,Petrol,190,190,24268,Japan,2020-03-31,1806
Ford,Model C,Diesel,363,121,85111,Spain,2020-03-31,1462
Ford,Model A,Electric,368,182,97099,Canada,2020-03-31,233
Toyota,Model A,Hybrid,446,140,90581,France,2020-03-31,378
Nissan,Model E,Diesel,119,59,111831,Japan,2020-03-31,740
Mercedes,Model C,Petrol,211,110,26815,Japan,2020-03-31,756
Nissan,Model B,Electric,77,117,55056,Canada,2020-03-31,1044
Mercedes,Model C,Electric,407,189,58525,China,2020-03-31,808
Hyundai,Model C,Electric,447,84,69709,UK,2020-03-31,1077
Toyota,Model E,Diesel,316,63,30195,Canada,2020-03-31,905
Nissan,Model B,Petrol,280,216,64683,Canada,2020-03-31,2
Toyota,Model B,Electric,149,202,67700,Spain,2020-03-31,999
BMW,Model B,Electric,83,130,45446,Spain,2020-03-31,1191
Hyundai,Model A,Hybrid,328,150,102982,USA,2020-03-31,1350
Nissan,Model C,Diesel,362,62,17458,UK,2020-03-31,1131
Toyota,Model E,Petrol,93,202,75484,Canada,2020-03-31,822
Audi,Model D,Electric,272,160,75099,Spain,2020-03-31,1109
Volkswagen,Model A,Diesel,231,116,32807,Spain,2020-03-31,682
Mercedes,Model E,Petrol,174,184,49713,Brazil,2020-03-31,1447
Ford,Model E,Electric,98,217,57147,UK,2020-03-31,1506
Volkswagen,Model C,Diesel,170,66,91713,Germany,2020-03-31,1361
Honda,Model B,Petrol,307,221,58992,China,2020-03-31,927
Toyota,Model D,Hybrid,361,84,46799,USA,2020-03-31,1441
Honda,Model E,Petrol,469,174,23083,Japan,2020-03-31,546
BMW,Model A,Electric,145,85,46280,Italy,2020-03-31,1773
Audi,Model A,Hybrid,148,98,17903,Spain,2020-03-31,1276
Mercedes,Model C,Hybrid,188,195,79168,Brazil,2020-03-31,492
BMW,Model B,Diesel,261,242,27992,France,2020-03-31,902
Kia,Model E,Electric,488,143,35192,Canada,2020-03-31,1745
Hyundai,Model E,Petrol,247,155,87262,Germany,2020-03-31,1530
BMW,Model B,Hybrid,492,62,75090,Brazil,2020-03-31,1633
Volkswagen,Model D,Petrol,157,135,58328,Spain,2020-03-31,1615
Mercedes,Model E,Hybrid,450,160,75866,UK,2020-03-31,1536
Volkswagen,Model C,Diesel,466,199,85198,Germany,2020-03-31,525
Mercedes,Model A,Electric,269,93,106841,Japan,2020-03-31,238
Ford,Model B,Hybrid,320,243,19423,Japan,2020-03-31,617
Nissan,Model B,Petrol,160,97,82393,Germany,2020-03-31,505
Mercedes,Model B,Electric,385,213,39932,China,2020-03-31,1507
Volkswagen,Model E,Diesel,225,215,40341,France,2020-03-31,871
Honda,Model D,Petrol,268,54,82454,China,2020-03-31,529
BMW,Model D,Hybrid,164,80,69092,Canada,2020-03-31,567
BMW,Model B,Petrol,137,131,23449,Italy,2020-03-31,1075
Mercedes,Model A,Petrol,247,223,40427,Spain,2020-03-31,647
Kia,Model E,Electric,124,231,110631,France,2020-03-31,1314
Mercedes,Model E,Electric,72,178,60539,USA,2020-03-31,1128
Toyota,Model C,Diesel,123,169,32457,France,2020-03-31,189
Honda,Model B,Petrol,124,151,58361,Germany,2020-03-31,1572
Ford,Model C,Electric,219,226,88552,USA,2020-03-31,1550
Ford,Model E,Diesel,203,85,52882,France,2020-03-31,1740
Volkswagen,Model E,Electric,182,133,106365,Japan,2020-03-31,308
Audi,Model B,Diesel,294,136,94021,Italy,2020-03-31,1263
Nissan,Model E,Petrol,309,239,35439,Spain,2020-03-31,483
Volkswagen,Model C,Hybrid,72,226,59122,France,2020-03-31,1044
Toyota,Model D,Petrol,334,227,36281,China,2020-03-31,1671
Audi,Model D,Hybrid,431,195,24540,China,2020-03-31,1741
Nissan,Model A,Diesel,482,231,42009,Spain,2020-03-31,1959
BMW,Model B,Petrol,358,190,108582,China,2020-03-31,148
Volkswagen,Model E,Electric,379,66,56436,Germany,2020-03-31,1690
Ford,Model E,Electric,286,69,105305,Spain,2020-03-31,1685
Audi,Model C,Diesel,360,246,40832,Italy,2020-03-31,1980
Audi,Model A,Electric,361,71,66754,China,2020-03-31,221
Honda,Model A,Petrol,269,243,81091,UK,2020-03-31,1856
Mercedes,Model C,Petrol,103,243,20844,UK,2020-03-31,292
Toyota,Model B,Hybrid,496,193,84119,China,2020-03-31,479
Nissan,Model C,Diesel,482,92,83565,Brazil,2020-03-31,626
Nissan,Model E,Electric,103,239,42627,Japan,2020-03-31,1242
Ford,Model E,Diesel,348,92,99249,Italy,2020-03-31,110
Mercedes,Model D,Diesel,71,63,80603,Germany,2020-03-31,572
Ford,Model A,Hybrid,155,81,41386,Brazil,2020-03-31,1789
Hyundai,Model D,Electric,297,63,76331,Italy,2020-03-31,1769
Toyota,Model B,Electric,275,249,23117,UK,2020-03-31,622
Mercedes,Model B,Hybrid,394,86,21159,China,2020-03-31,1657
Audi,Model A,Diesel,337,103,83291,China,2020-03-31,1556
Hyundai,Model A,Diesel,249,114,84778,Canada,2020-03-31,625
Ford,Model A,Electric,231,78,81655,China,2020-03-31,981
Hyundai,Model B,Hybrid,436,174,90534,Italy,2020-03-31,996
BMW,Model B,Electric,251,182,99961,Japan,2020-03-31,1289
Volkswagen,Model D,Hybrid,151,105,43638,Brazil,2020-03-31,1942
Audi,Model D,Diesel,267,157,93545,Canada,2020-03-31,687
Mercedes,Model D,Petrol,481,249,72368,Germany,2020-03-31,1457
BMW,Model D,Diesel,132,88,101838,Germany,2020-03-31,1734
Audi,Model D,Hybrid,305,118,76111,USA,2020-03-31,1011
Ford,Model D,Diesel,396,64,90277,Italy,2020-03-31,200
Ford,Model B,Hybrid,253,143,17190,UK,2020-03-31,1418
Mercedes,Model C,Diesel,112,211,113972,China,2020-03-31,1492
Mercedes,Model D,Electric,107,179,47051,Brazil,2020-03-31,1849
Nissan,Model B,Electric,462,218,111637,Italy,2020-03-31,633
BMW,Model B,Petrol,430,217,109239,Canada,2020-03-31,487
Mercedes,Model D,Diesel,499,237,63661,UK,2020-03-31,23
Nissan,Model B,Electric,345,188,29538,Spain,2020-03-31,551
BMW,Model E,Electric,81,233,66742,Japan,2020-03-31,958
Ford,Model A,Diesel,180,181,54524,Germany,2020-03-31,410
Hyundai,Model B,Diesel,150,205,31490,Japan,2020-03-31,1889
Hyundai,Model D,Petrol,361,83,75835,Italy,2020-03-31,1480
Kia,Model E,Hybrid,198,209,56885,Germany,2020-03-31,631
BMW,Model C,Diesel,439,222,40589,Spain,2020-03-31,1396
BMW,Model E,Diesel,317,185,63195,USA,2020-03-31,490
Nissan,Model C,Electric,177,77,54384,Spain,2020-03-31,591
Volkswagen,Model B,Diesel,274,138,60476,France,2020-03-31,1428
Hyundai,Model A,Petrol,91,172,46299,USA,2020-03-31,451
Ford,Model B,Hybrid,248,162,99768,France,2020-03-31,647
Nissan,Model B,Electric,260,246,55836,Japan,2020-03-31,1154
Mercedes,Model A,Hybrid,343,179,82391,China,2020-03-31,508
BMW,Model B,Petrol,400,79,61300,Canada,2020-03-31,1938
Toyota,Model E,Electric,375,99,37216,France,2020-03-31,1550
Nissan,Model E,Diesel,128,72,27769,USA,2020-03-31,1687
Audi,Model B,Petrol,302,79,64800,France,2020-03-31,624
Honda,Model E,Petrol,461,154,56052,Brazil,2020-03-31,1603
Hyundai,Model E,Hybrid,388,72,33797,France,2020-03-31,799
Ford,Model D,Electric,360,240,60699,Japan,2020-03-31,1993
Audi,Model A,Electric,169,229,54548,USA,2020-03-31,1059
Kia,Model E,Hybrid,453,101,25788,Canada,2020-03-31,415
Ford,Model C,Diesel,224,102,27863,USA,2020-03-31,172
Mercedes,Model D,Petrol,429,74,93156,UK,2020-03-31,507
Audi,Model C,Diesel,394,101,106079,Japan,2020-03-31,1432
Toyota,Model E,Electric,336,161,107960,UK,2020-03-31,1780
Volkswagen,Model C,Electric,230,65,43668,Germany,2020-03-31,222
Hyundai,Model B,Diesel,195,211,57433,France,2020-03-31,1370
BMW,Model B,Petrol,107,97,47881,Italy,2020-03-31,778
Volkswagen,Model A,Electric,190,55,50853,Canada,2020-03-31,1343
Hyundai,Model C,Hybrid,477,161,81643,USA,2020-03-31,171
Hyundai,Model D,Petrol,106,97,99322,Italy,2020-03-31,14
Mercedes,Model A,Diesel,374,183,113527,Canada,2020-03-31,315
Kia,Model A,Diesel,267,146,95643,Canada,2020-03-31,848
Kia,Model D,Electric,437,189,45027,Italy,2020-03-31,1493
Mercedes,Model E,Electric,100,119,60724,China,2020-03-31,1406
Mercedes,Model D,Hybrid,80,161,109959,USA,2020-03-31,1774
Hyundai,Model E,Hybrid,71,184,72559,UK,2020-03-31,1483
Audi,Model C,Petrol,99,72,34871,USA,2020-03-31,63
BMW,Model A,Diesel,103,138,28254,Canada,2020-03-31,1011
Honda,Model E,Hybrid,411,145,106159,Italy,2020-03-31,1430
Kia,Model E,Petrol,437,124,57084,USA,2020-03-31,356
Ford,Model B,Diesel,432,220,60924,Germany,2020-03-31,1945
Honda,Model D,Diesel,454,156,90566,USA,2020-03-31,1361
Volkswagen,Model D,Petrol,170,124,28667,China,2020-03-31,1632
Hyundai,Model C,Electric,456,240,33263,Japan,2020-03-31,1656
Volkswagen,Model D,Diesel,196,160,74737,China,2020-03-31,221
Audi,Model A,Hybrid,268,197,69706,Germany,2020-03-31,1177
Kia,Model C,Diesel,238,177,110170,Canada,2020-03-31,665
Audi,Model A,Diesel,220,109,79243,China,2020-03-31,1473
Hyundai,Model C,Hybrid,171,227,117769,Italy,2020-03-31,575
Honda,Model C,Petrol,177,243,99951,France,2020-03-31,1920
Volkswagen,Model B,Diesel,80,111,42421,Italy,2020-03-31,1556
Honda,Model A,Diesel,73,213,93908,China,2020-03-31,1901
Audi,Model B,Hybrid,433,227,26918,Spain,2020-03-31,1270
Nissan,Model A,Hybrid,134,194,101804,Italy,2020-03-31,421
Ford,Model A,Diesel,341,163,113884,France,2020-03-31,283
Volkswagen,Model B,Electric,239,200,84702,UK,2020-03-31,1844
Kia,Model A,Diesel,117,242,85898,Japan,2020-03-31,1707
Mercedes,Model B,Petrol,491,177,111820,Canada,2020-03-31,890
Audi,Model E,Electric,78,88,66434,USA,2020-03-31,1863
Audi,Model B,Hybrid,81,79,54727,USA,2020-03-31,268
Volkswagen,Model C,Hybrid,119,91,75548,Germany,2020-03-31,1362
